timestamp,message
1623180924444,/usr/local/lib/python3.6/dist-packages/celery/platforms.py:801: RuntimeWarning: You're running the worker with superuser privileges: this is
1623180924444,absolutely not recommended!
1623180924444,Please specify a different user using the --uid option.
1623180924444,User information: uid=0 euid=0 gid=0 egid=0
1623180924444,"  uid=uid, euid=euid, gid=gid, egid=egid,"
1623180924578, 
1623180924578, -------------- workernote@ip-10-0-1-164.us-west-1.compute.internal v4.4.6 (cliffs)
1623180924578,--- ***** ----- 
1623180924578,-- ******* ---- Linux-4.14.231-173.361.amzn2.x86_64-x86_64-with-Ubuntu-18.04-bionic 2021-06-08 19:35:24
1623180924578,- *** --- * --- 
1623180924578,- ** ---------- [config]
1623180924578,- ** ---------- .> app:         service_note:0x7f1db0276748
1623180924578,- ** ---------- .> transport:   sqs://AKIAWKK3JBRLYERQUDOT:**@localhost//
1623180924578,- ** ---------- .> results:     disabled://
1623180924578,- *** --- * --- .> concurrency: 1 (prefork)
1623180924578,-- ******* ---- .> task events: OFF (enable -E to monitor tasks in this worker)
1623180924578,--- ***** ----- 
1623180924578, -------------- [queues]
1623180924578,                .> service_note_queue exchange=service_note_queue(direct) key=service_note_queue
1623180924578,                
1623180924578,[tasks]
1623180924578,  . service_note.celery.debug_task
1623180924578,  . service_note.task.process_note
1623180924938,"[2021-06-08 19:35:24,937: INFO/MainProcess] Connected to sqs://AKIAWKK3JBRLYERQUDOT:**@localhost//"
1623180925317,"[2021-06-08 19:35:25,317: INFO/MainProcess] workernote@ip-10-0-1-164.us-west-1.compute.internal ready."
1623181027458,"[2021-06-08 19:37:07,457: INFO/MainProcess] Received task: service_note.task.process_note[cd3ea5fc-78ad-4a0a-8f6d-d50eacee18e6]  "
1623181027571,"[2021-06-08 19:37:07,571: INFO/ForkPoolWorker-1] 1072530_JENNIE_FOSTER_09-26-1924_28821_12-18-2020.pdf | Start Text Correction.."
1623181066749,"[2021-06-08 19:37:46,749: INFO/ForkPoolWorker-1] 1072530_JENNIE_FOSTER_09-26-1924_28821_12-18-2020.pdf | Finished Text Correction in 39 seconds"
1623181066763,"[2021-06-08 19:37:46,763: INFO/ForkPoolWorker-1] 1072530_JENNIE_FOSTER_09-26-1924_28821_12-18-2020.pdf | Start of note_identify"
1623181066766,"[2021-06-08 19:37:46,766: INFO/ForkPoolWorker-1] Page No: 1 | Initiate dos extraction"
1623181066769,"[2021-06-08 19:37:46,769: INFO/ForkPoolWorker-1] Page No: 1 | Check for free floating date"
1623181066770,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 1 | Assigning last_encounter as dos: "
1623181066770,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 2 | Initiate dos extraction"
1623181066770,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 2 | Check for free floating date"
1623181066770,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 2 | Assigning last_encounter as dos: "
1623181066770,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 3 | Initiate dos extraction"
1623181066771,"[2021-06-08 19:37:46,770: INFO/ForkPoolWorker-1] Page No: 3 | Check for free floating date"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 3 | Assigning last_encounter as dos: "
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 4 | Initiate dos extraction"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 4 | Check for free floating date"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 4 | Assigning last_encounter as dos: "
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 5 | Initiate dos extraction"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 5 | Check for free floating date"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 5 | Assigning last_encounter as dos: "
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 6 | Initiate dos extraction"
1623181066771,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 6 | Check for free floating date"
1623181066772,"[2021-06-08 19:37:46,771: INFO/ForkPoolWorker-1] Page No: 6 | Assigning last_encounter as dos: "
1623181066772,"[2021-06-08 19:37:46,772: INFO/ForkPoolWorker-1] Page No: 7 | Initiate dos extraction"
1623181066772,"[2021-06-08 19:37:46,772: INFO/ForkPoolWorker-1] Page No: 7 | Check for free floating date"
1623181066772,"[2021-06-08 19:37:46,772: INFO/ForkPoolWorker-1] Page No: 7 | Assigning last_encounter as dos: "
1623181066772,"[2021-06-08 19:37:46,772: INFO/ForkPoolWorker-1] Page No: 8 | Initiate dos extraction"
1623181066797,"[2021-06-08 19:37:46,796: INFO/ForkPoolWorker-1] Page No: 8 | Got dos from label: 01/04/2020"
1623181066798,"[2021-06-08 19:37:46,797: INFO/ForkPoolWorker-1] Page No: 9 | Initiate dos extraction"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 9 | Check for free floating date"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 9 | Assigning last_encounter as dos: 01/04/2020"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 10 | Initiate dos extraction"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 10 | Check for free floating date"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 10 | Assigning last_encounter as dos: 01/04/2020"
1623181066798,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 11 | Initiate dos extraction"
1623181066799,"[2021-06-08 19:37:46,798: INFO/ForkPoolWorker-1] Page No: 11 | Check for free floating date"
1623181066799,"[2021-06-08 19:37:46,799: INFO/ForkPoolWorker-1] Page No: 11 | Assigning last_encounter as dos: 01/04/2020"
1623181066799,"[2021-06-08 19:37:46,799: INFO/ForkPoolWorker-1] Page No: 12 | Initiate dos extraction"
1623181066799,"[2021-06-08 19:37:46,799: INFO/ForkPoolWorker-1] Page No: 12 | Check for free floating date"
1623181066799,"[2021-06-08 19:37:46,799: INFO/ForkPoolWorker-1] Page No: 12 | Assigning last_encounter as dos: 01/04/2020"
1623181066799,"[2021-06-08 19:37:46,799: INFO/ForkPoolWorker-1] Page No: 13 | Initiate dos extraction"
1623181066800,"[2021-06-08 19:37:46,800: INFO/ForkPoolWorker-1] Page No: 13 | Got dos from label: 01/04/2020"
1623181066800,"[2021-06-08 19:37:46,800: INFO/ForkPoolWorker-1] Page No: 14 | Initiate dos extraction"
1623181066802,"[2021-06-08 19:37:46,801: INFO/ForkPoolWorker-1] Page No: 14 | Check for free floating date"
1623181066802,"[2021-06-08 19:37:46,802: INFO/ForkPoolWorker-1] Page No: 14 | Assigning last_encounter as dos: 01/04/2020"
1623181066802,"[2021-06-08 19:37:46,802: INFO/ForkPoolWorker-1] Page No: 15 | Initiate dos extraction"
1623181066803,"[2021-06-08 19:37:46,803: INFO/ForkPoolWorker-1] Page No: 15 | Check for free floating date"
1623181066803,"[2021-06-08 19:37:46,803: INFO/ForkPoolWorker-1] Page No: 15 | Assigning last_encounter as dos: 01/04/2020"
1623181066803,"[2021-06-08 19:37:46,803: INFO/ForkPoolWorker-1] Page No: 16 | Initiate dos extraction"
1623181066803,"[2021-06-08 19:37:46,803: INFO/ForkPoolWorker-1] Page No: 16 | Check for free floating date"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 16 | Assigning last_encounter as dos: 01/04/2020"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 17 | Initiate dos extraction"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 17 | Check for free floating date"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 17 | Assigning last_encounter as dos: 01/04/2020"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 18 | Initiate dos extraction"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 18 | Check for free floating date"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 18 | Assigning last_encounter as dos: 01/04/2020"
1623181066804,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 19 | Initiate dos extraction"
1623181066805,"[2021-06-08 19:37:46,804: INFO/ForkPoolWorker-1] Page No: 19 | Check for free floating date"
1623181066805,"[2021-06-08 19:37:46,805: INFO/ForkPoolWorker-1] Page No: 19 | Assigning last_encounter as dos: 01/04/2020"
1623181066805,"[2021-06-08 19:37:46,805: INFO/ForkPoolWorker-1] Page No: 20 | Initiate dos extraction"
1623181066805,"[2021-06-08 19:37:46,805: INFO/ForkPoolWorker-1] Page No: 20 | Check for free floating date"
1623181066806,"[2021-06-08 19:37:46,805: INFO/ForkPoolWorker-1] Page No: 20 | Found Header: reason for visit"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 20 | dates1: []"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 20 | dates2: []"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 20 | free_floating_date_sentence: None"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 20 | Assigning last_encounter as dos: 01/04/2020"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 21 | Initiate dos extraction"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 21 | Check for free floating date"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 21 | Assigning last_encounter as dos: 01/04/2020"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 22 | Initiate dos extraction"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 22 | Check for free floating date"
1623181066807,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 22 | Assigning last_encounter as dos: 01/04/2020"
1623181066808,"[2021-06-08 19:37:46,807: INFO/ForkPoolWorker-1] Page No: 23 | Initiate dos extraction"
1623181066808,"[2021-06-08 19:37:46,808: INFO/ForkPoolWorker-1] Page No: 23 | Check for free floating date"
1623181066808,"[2021-06-08 19:37:46,808: INFO/ForkPoolWorker-1] Page No: 23 | Assigning last_encounter as dos: 01/04/2020"
